,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
3540,,,,,,,,9372530006.0,,,0,1,right_only,1,0
3541,,,,,,,,9372530007.0,,,0,1,right_only,1,0
3542,,,,,,,,9372530008.0,,,0,2,right_only,2,0
3543,,,,,,,,9372530009.0,,,0,1,right_only,1,0
3544,,,,,,,,9372540003.0,,,0,1,right_only,1,0
3545,,,,,,,,9372760001.0,,,0,1,right_only,1,0
3546,,,,,,,,9372760004.0,,,0,2,right_only,2,0
3547,,,,,,,,9378660001.0,,,0,1,right_only,1,0
3548,,,,,,,,9387890001.0,,,0,2,right_only,2,0
3549,,,,,,,,9387950001.0,,,0,1,right_only,1,0
3550,,,,,,,,9387950002.0,,,0,1,right_only,1,0
3551,,,,,,,,9387950003.0,,,0,1,right_only,1,0
3552,,,,,,,,9387950005.0,,,0,2,right_only,2,0
3553,,,,,,,,9388210002.0,,,0,1,right_only,1,0
3554,,,,,,,,9388210005.0,,,0,1,right_only,1,0
3555,,,,,,,,9388270002.0,,,0,1,right_only,1,0
3556,,,,,,,,9388290002.0,,,0,1,right_only,1,0
3557,,,,,,,,9388290005.0,,,0,1,right_only,1,0
3558,,,,,,,,9390670002.0,,,0,1,right_only,1,0
3559,,,,,,,,9392810004.0,,,0,1,right_only,1,0
3560,,,,,,,,9395020003.0,,,0,1,right_only,1,0
3561,,,,,,,,9395020004.0,,,0,2,right_only,2,0
3562,,,,,,,,9395030001.0,,,0,1,right_only,1,0
3563,,,,,,,,9395030004.0,,,0,2,right_only,2,0
3564,,,,,,,,9395510006.0,,,0,6,right_only,6,0
3565,,,,,,,,9395510007.0,,,0,4,right_only,4,0
3566,,,,,,,,9395510008.0,,,0,5,right_only,5,0
3567,,,,,,,,9395510009.0,,,0,6,right_only,6,0
3568,,,,,,,,9395510010.0,,,0,2,right_only,2,0
3569,,,,,,,,9395530007.0,,,0,2,right_only,2,0
3570,,,,,,,,9395530008.0,,,0,1,right_only,1,0
3571,,,,,,,,9395650006.0,,,0,1,right_only,1,0
3572,,,,,,,,9395650007.0,,,0,1,right_only,1,0
3573,,,,,,,,9395650008.0,,,0,1,right_only,1,0
3574,,,,,,,,9395650009.0,,,0,2,right_only,2,0
3575,,,,,,,,9395650010.0,,,0,1,right_only,1,0
3576,,,,,,,,9395740004.0,,,0,1,right_only,1,0
3577,,,,,,,,9395770004.0,,,0,1,right_only,1,0
3578,,,,,,,,9395770005.0,,,0,1,right_only,1,0
3579,,,,,,,,9395830001.0,,,0,4,right_only,4,0
3580,,,,,,,,9395830002.0,,,0,1,right_only,1,0
3581,,,,,,,,9395830004.0,,,0,2,right_only,2,0
3582,,,,,,,,9395840001.0,,,0,3,right_only,3,0
3583,,,,,,,,9395840002.0,,,0,1,right_only,1,0
3584,,,,,,,,9395840003.0,,,0,1,right_only,1,0
3585,,,,,,,,9395840005.0,,,0,1,right_only,1,0
3586,,,,,,,,9395850003.0,,,0,1,right_only,1,0
3587,,,,,,,,9395890009.0,,,0,4,right_only,4,0
3588,,,,,,,,9395890010.0,,,0,1,right_only,1,0
3589,,,,,,,,9395940006.0,,,0,3,right_only,3,0
3590,,,,,,,,9395940007.0,,,0,1,right_only,1,0
3591,,,,,,,,9395940008.0,,,0,1,right_only,1,0
3592,,,,,,,,9395940009.0,,,0,2,right_only,2,0
3593,,,,,,,,9396070001.0,,,0,2,right_only,2,0
3594,,,,,,,,9396070002.0,,,0,1,right_only,1,0
3595,,,,,,,,9396070003.0,,,0,3,right_only,3,0
3596,,,,,,,,9396070004.0,,,0,1,right_only,1,0
3597,,,,,,,,9396070005.0,,,0,1,right_only,1,0
3598,,,,,,,,9396100001.0,,,0,2,right_only,2,0
3599,,,,,,,,9396100002.0,,,0,2,right_only,2,0
3600,,,,,,,,9396100003.0,,,0,2,right_only,2,0
3601,,,,,,,,9396100004.0,,,0,3,right_only,3,0
3602,,,,,,,,9396100005.0,,,0,1,right_only,1,0
3603,,,,,,,,9396110004.0,,,0,1,right_only,1,0
3604,,,,,,,,9396130001.0,,,0,1,right_only,1,0
3605,,,,,,,,9396130002.0,,,0,1,right_only,1,0
3606,,,,,,,,9396130003.0,,,0,1,right_only,1,0
3607,,,,,,,,9396130004.0,,,0,2,right_only,2,0
3608,,,,,,,,9396270008.0,,,0,1,right_only,1,0
3609,,,,,,,,9396400005.0,,,0,1,right_only,1,0
3610,,,,,,,,9396670008.0,,,0,1,right_only,1,0
3611,,,,,,,,9396670009.0,,,0,1,right_only,1,0
3612,,,,,,,,9396710004.0,,,0,1,right_only,1,0
3613,,,,,,,,9396710005.0,,,0,1,right_only,1,0
3614,,,,,,,,9396730001.0,,,0,1,right_only,1,0
3615,,,,,,,,9396730003.0,,,0,1,right_only,1,0
3616,,,,,,,,9396740003.0,,,0,1,right_only,1,0
3617,,,,,,,,9396780009.0,,,0,2,right_only,2,0
3618,,,,,,,,9396780010.0,,,0,1,right_only,1,0
3619,,,,,,,,9396900008.0,,,0,2,right_only,2,0
3620,,,,,,,,9396900009.0,,,0,1,right_only,1,0
3621,,,,,,,,9396920007.0,,,0,1,right_only,1,0
3622,,,,,,,,9396920009.0,,,0,1,right_only,1,0
3623,,,,,,,,9396920010.0,,,0,1,right_only,1,0
3624,,,,,,,,9396940001.0,,,0,1,right_only,1,0
3625,,,,,,,,9396940002.0,,,0,1,right_only,1,0
3626,,,,,,,,9397070006.0,,,0,1,right_only,1,0
3627,,,,,,,,9397190009.0,,,0,1,right_only,1,0
3628,,,,,,,,9397210005.0,,,0,1,right_only,1,0
3629,,,,,,,,9397220003.0,,,0,2,right_only,2,0
3630,,,,,,,,9397220004.0,,,0,3,right_only,3,0
3631,,,,,,,,9397220005.0,,,0,1,right_only,1,0
3632,,,,,,,,9397540001.0,,,0,2,right_only,2,0
3633,,,,,,,,9397540002.0,,,0,2,right_only,2,0
3634,,,,,,,,9397540003.0,,,0,2,right_only,2,0
3635,,,,,,,,9397540004.0,,,0,2,right_only,2,0
3636,,,,,,,,9398790001.0,,,0,2,right_only,2,0
3637,,,,,,,,9398790002.0,,,0,2,right_only,2,0
3638,,,,,,,,9398790004.0,,,0,1,right_only,1,0
3639,,,,,,,,9399630006.0,,,0,3,right_only,3,0
3640,,,,,,,,9399630008.0,,,0,2,right_only,2,0
3641,,,,,,,,9399630009.0,,,0,1,right_only,1,0
3642,,,,,,,,9399670008.0,,,0,1,right_only,1,0
3643,,,,,,,,9399700005.0,,,0,1,right_only,1,0
3644,,,,,,,,9399700007.0,,,0,1,right_only,1,0
3645,,,,,,,,9399700008.0,,,0,1,right_only,1,0
3646,,,,,,,,9399720002.0,,,0,1,right_only,1,0
3647,,,,,,,,9399720005.0,,,0,1,right_only,1,0
3648,,,,,,,,9399780001.0,,,0,3,right_only,3,0
3649,,,,,,,,9399780002.0,,,0,2,right_only,2,0
3650,,,,,,,,9399780003.0,,,0,1,right_only,1,0
3651,,,,,,,,9399780004.0,,,0,2,right_only,2,0
3652,,,,,,,,9401730001.0,,,0,3,right_only,3,0
3653,,,,,,,,9401730002.0,,,0,5,right_only,5,0
3654,,,,,,,,9401730003.0,,,0,2,right_only,2,0
3655,,,,,,,,9401730004.0,,,0,4,right_only,4,0
3656,,,,,,,,9401760001.0,,,0,1,right_only,1,0
3657,,,,,,,,9401760002.0,,,0,1,right_only,1,0
3658,,,,,,,,9401770004.0,,,0,1,right_only,1,0
3659,,,,,,,,9401780004.0,,,0,1,right_only,1,0
3660,,,,,,,,9401990004.0,,,0,1,right_only,1,0
3661,,,,,,,,9404160008.0,,,0,3,right_only,3,0
3662,,,,,,,,9404160009.0,,,0,1,right_only,1,0
3663,,,,,,,,9404160010.0,,,0,1,right_only,1,0
3664,,,,,,,,9404190002.0,,,0,2,right_only,2,0
3665,,,,,,,,9404250007.0,,,0,1,right_only,1,0
3666,,,,,,,,9404250008.0,,,0,1,right_only,1,0
3667,,,,,,,,9404250009.0,,,0,2,right_only,2,0
3668,,,,,,,,9404250010.0,,,0,1,right_only,1,0
3669,,,,,,,,9404270004.0,,,0,1,right_only,1,0
3670,,,,,,,,9404280002.0,,,0,1,right_only,1,0
3671,,,,,,,,9404280004.0,,,0,1,right_only,1,0
3672,,,,,,,,9404280005.0,,,0,4,right_only,4,0
3673,,,,,,,,9404300006.0,,,0,5,right_only,5,0
3674,,,,,,,,9404300007.0,,,0,1,right_only,1,0
3675,,,,,,,,9404300008.0,,,0,2,right_only,2,0
3676,,,,,,,,9404300009.0,,,0,3,right_only,3,0
3677,,,,,,,,9404300010.0,,,0,2,right_only,2,0
3678,,,,,,,,9404330004.0,,,0,2,right_only,2,0
