,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
1850,JEANS,C,VESTUARIO,C8,C8C,C8CB,SHORT C8 SLO JUVA MARCA DE TERCEIROS CLO,9434230003.0,14,SHORT/SAIA,9,0,left_only,-9,9
1851,AZUL,C,VESTUARIO,CY,CYA,CYAB,CALCA  CF SLO INK BARRA VIRADA MARINHO 1,9265870007.0,34,CALÇA SARJA,1,0,left_only,-1,1
1852,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  JV PRD INK VISTA ABOTOADA E RASGO,9596730005.0,42,CALÇA JEANS,1,1,both,0,0
1853,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK ELASTICO E AMARR,9480260005.0,46,BOTTOM CURTO JEANS,2,2,both,0,0
1854,JEANS,C,VESTUARIO,CM,CMA,CMAB,BERMUDA JEANS CRN MSA INK USED BIGODE DE,9578640005.0,46,BERMUDA JEANS,1,0,left_only,-1,1
1855,ROSA,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN BASE CJ MSA ELLA LISO ROSA 46 RO,9424680004.0,46,SOUTIEN / TOP,3,3,both,0,0
1856,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS EVT PAIS CRN MSA INK USED BI,9578190006.0,36,CALÇA JEANS,1,0,left_only,-1,1
1857,PRATA,C,VESTUARIO,C5,C5E,C5EA,CONJUNTO NIQUEL COM PEDRA OVAL AZUL CLAR,9593750001.0,SEM TAMANHO,CONJUNTO,6,0,left_only,-6,6
1858,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS INK  SKYBLEATCH BARRA NAVALH,9563150004.0,40,CALÇA JEANS,1,1,both,0,0
1859,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN MSA INK BARRA VIRADA LIS,9383960004.0,40,BOTTOM CURTO JEANS,1,0,left_only,-1,1
1860,JEANS,C,VESTUARIO,CY,CYC,CYCB,CALCA JEANS PS MSA INK BARRA FEITA 5 POC,9166830002.0,48,CALÇA JEANS PLUS,3,1,both,-2,2
1861,JEANS,C,VESTUARIO,CY,CYA,CYAI,VESTIDO MANGA CURTA JEANS CRN PRD INK MA,9427880003.0,42,INTEIRO,1,1,both,0,0
1862,PRETO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA BIQUINI CJ MSA ELLA BICOLOR LIS,9424760003.0,M,CALCINHA / BOTTOM,4,4,both,0,0
1863,JEANS,C,VESTUARIO,CY,CYA,CYAF,TOP SEM MANGA JEANS CRN PRD INK CORSET L,9594460006.0,40,TOP,2,2,both,0,0
1864,BRANCO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SLO BIQUINI RENDA BRANCO PP,7738190003.0,G,CALCINHA / BOTTOM,2,1,both,-1,1
1865,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK SKY SEM COSTURA,9480650006.0,46,CALÇA JEANS,1,1,both,0,0
1866,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CF SLO INK USED TANK ESMERIL,9480810005.0,46,CALÇA JEANS,3,1,both,-2,2
1867,AZUL,C,VESTUARIO,CR,CRA,CRAK,CALCINHA CR SLO ELLA ESTAMPADO AZUL G AZ,9707390001.0,G,KIT CALCINHA,2,2,both,0,0
1868,VERDE,C,VESTUARIO,CY,CYA,CYAE,SHORT SARJA CRN SLO INK AMASSADINHO VERD,9573170006.0,38,BOTTOM CURTO SARJA,2,0,left_only,-2,2
1869,DOURADO,C,VESTUARIO,C5,C5E,C5EA,CJT COLAR E BRINCO  DOURADO SEM TAMANHO,9705270001.0,SEM TAMANHO,CONJUNTO,3,0,left_only,-3,3
1870,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS APP CS SLO SLIM ANDORRA LARI,8132690004.0,42,CALÇA JEANS,1,1,both,0,0
1871,,H,ELETRO-ELETRONICOS,HB,HBH,HBHA,MOTO G31 128GB GRAFITE,9389680000.0,,MOTOROLA,2,2,both,0,0
1872,ROSA,C,VESTUARIO,C5,C5B,C5BA,OCULOS  C5 MSA MAIS ACESSORIOS INFA ACET,9683320001.0,UNICO,ÓCULOS INF ACETATO,1,0,left_only,-1,1
1873,BRANCO,C,VESTUARIO,C6,C6A,C6AT,2  SOUTIENS APP TRS PUSH UP C  BJ LISO T,7205860001.0,42,SOUTIEN / TOP,2,0,left_only,-2,2
1874,VERDE,C,VESTUARIO,CY,CYC,CYCE,JAQUETA MANGA LONGA SARJA PS PRD INK BAS,9422310006.0,56,TOP PLUS,1,0,left_only,-1,1
1875,AZUL,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK CALCA MASC AMACI,9756230004.0,44,CALÇA JEANS,3,0,left_only,-3,3
1876,OFF WHITE,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN ELLA  CROPP,9669640002.0,GG,SHORT DOLL,1,1,both,0,0
1877,PRETO,C,VESTUARIO,C8,C8D,C8DA,CALCA C8 PRD COS ELASTICO JUVO INK COS E,9406610003.0,14,CALÇA,2,0,left_only,-2,2
1878,PRETO,C,VESTUARIO,CJ,CJA,CJAS,SHORT DOLL APP SNS SLO ELLA LISO PRETO M,8830400003.0,M,SHORT DOLL,3,3,both,0,0
1879,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN PRD INK  SUPER STONE   U,9486390003.0,40,CALÇA JEANS,2,0,left_only,-2,2
1880,JEANS,C,VESTUARIO,CY,CYC,CYCD,SHORT JEANS INK COM AMARRACAO LISO JEANS,9575840004.0,52,BOTTOM CURTO JEANS PLUS,1,1,both,0,0
1881,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CF MSA INK USED E TANK LISO,9479660003.0,40,CALÇA JEANS,3,0,left_only,-3,3
1882,ROSA,C,VESTUARIO,CJ,CJA,CJAK,CALCINHA CJ PRD ELLA LISO ROSA GG ROSA M,9456160002.0,GG,KIT CALCINHA,2,2,both,0,0
1883,JEANS,C,VESTUARIO,CY,CYC,CYCD,SAIA JEANS PS PRD INK MARIAS ELASTICO TR,9481240002.0,52,BOTTOM CURTO JEANS PLUS,2,0,left_only,-2,2
1884,ROSA,C,VESTUARIO,CR,CRA,CRAB,CALCINHA CR PRD ELLA RENDAA TRIANGULO LI,9383040004.0,P,CALCINHA / BOTTOM,2,1,both,-1,1
1885,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  JV PRD INK VISTA ABOTOADA E RASGO,9596730002.0,36,CALÇA JEANS,1,0,left_only,-1,1
1886,VERDE,C,VESTUARIO,CY,CYA,CYAB,CALCA  CRN MSA INK BARRA NAVALHADA LISO,9479830003.0,42,CALÇA SARJA,2,0,left_only,-2,2
1887,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9392570001.0,34,BOTTOM CURTO JEANS,2,0,left_only,-2,2
1888,JEANS,C,VESTUARIO,C8,C8C,C8CC,JAQUETA MANGA LONGA INFA C8 PRD INK STON,9483720001.0,4,TOP/JAQUETA,2,1,both,-1,1
1889,ROSA,C,VESTUARIO,CN,CNC,CNCS,SHORT DOLL MANGA CURTA JV CN PRD MICKEY,9353140001.0,G,SHORT DOLL,2,2,both,0,0
1890,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN PRD INK EVT SUPER STONE,9561450005.0,44,CALÇA JEANS,2,0,left_only,-2,2
1891,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK USED TANK BARRA,9480860003.0,40,CALÇA JEANS,2,0,left_only,-2,2
1892,PRETO,C,VESTUARIO,C7,C7A,C7AT,SOUTIEN TG BASICO PTO ERI C7 50 PRETO,7998040003.0,50,SOUTIEN / TOP,1,1,both,0,0
1893,CHOCOLATE,C,VESTUARIO,C6,C6A,C6AB,CALCINHA APP TRS  CALCA ALTA MFB SAFIRA,8806680001.0,EG,CALCINHA / BOTTOM,2,0,left_only,-2,2
1894,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK AMACIADAUSED LIS,9578050004.0,44,CALÇA JEANS,3,0,left_only,-3,3
1895,ROSA,C,VESTUARIO,C8,C8A,C8AA,CALCA C8 PRD PPA INK CLOCHARD COM 2 BOTO,9483530001.0,1,CALÇA,1,1,both,0,0
1896,,W,BELEZA,WA,WAC,WACP,DESODORANTE COLONIA FEMININA DESIREE SCA,9629440000.0,,PERFUME,3,2,both,-1,1
1897,BRANCO,C,VESTUARIO,CR,CRA,CRAB,BIQUINI CR SLO ELLA LISO BRANCO M BRANCO,9671720003.0,M,CALCINHA / BOTTOM,4,4,both,0,0
1898,ROSA,C,VESTUARIO,CP,CPM,CPMG,2 PARES MEIA INVISIVEL ACC SLO PANDA ROS,9659280001.0,34/39,MEIA CASUAL/ESPORTIVA,7,5,both,-2,2
